,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading
0,246,1270,6370,120000,120000,120000,-2.805072744198256,-2.273136659922354,-1.6555362081142244,0.4621263884401931
1,437,2134,9214,120000,120000,120000,-2.7822178732105627,-2.270427341831294,-1.6621508035087518,0.4494870544299524
2,201,1288,7095,120000,120000,120000,-2.8940092034013127,-2.285426166147828,-1.6152834268692833,0.4344722920710431
3,225,1241,6097,120000,120000,120000,-2.833906922151681,-2.2794389509321666,-1.6728234558567237,0.4613030971990343
4,306,1593,7699,120000,120000,120000,-2.805631102832475,-2.278672940686926,-1.6490875571165458,0.45005656255241655
5,280,1464,7155,120000,120000,120000,-2.8317510825954804,-2.2910764444767553,-1.6859559508120232,0.44700218494929644
6,119,831,4995,120000,120000,120000,-2.9193084547989816,-2.341422270385145,-1.672896872577561,0.39952805539657943
7,204,1244,6341,120000,120000,120000,-2.859294113349284,-2.29103306156464,-1.6531600936057043,0.4478672424795027
8,243,1286,6650,120000,120000,120000,-2.785618945970249,-2.2553100641637367,-1.6462542563480622,0.4616448691259958
9,131,937,5566,120000,120000,120000,-2.9367625580452223,-2.344507622225226,-1.6729306694515182,0.41165434337856666
10,310,1538,7231,120000,120000,120000,-2.7950819387209673,-2.297072881683733,-1.6907321346986772,0.4504249109300916
11,117,693,4367,120000,120000,120000,-2.8170587487324825,-2.3050293473726366,-1.652676384447488,0.4521747435281872
12,208,1262,6213,120000,120000,120000,-2.809474524669195,-2.2946857586612044,-1.6737825703295055,0.4507953123373968
13,285,1569,7948,120000,120000,120000,-2.7950425224223605,-2.2945434120706363,-1.640260530549875,0.45214068859279927
14,91,775,4730,120000,120000,120000,-3.0698054649080646,-2.423936718089565,-1.73692730031429,0.33504259420352467
15,189,1079,5751,120000,120000,120000,-2.870796209855151,-2.313575331026933,-1.7010166903992838,0.4431260087852682
16,157,1029,5952,120000,120000,120000,-2.877337137187254,-2.2738848289232205,-1.6325427519483786,0.44209895733233934
17,175,1060,6061,120000,120000,120000,-2.8481207314791077,-2.306648857168832,-1.6819904374818178,0.4620622130644356
18,315,1578,7818,120000,120000,120000,-2.7714026957637525,-2.282952463684436,-1.6373131359467958,0.4521598182592528
19,231,1505,7505,120000,120000,120000,-2.95288012999411,-2.3362677319754157,-1.665097440107019,0.3148489572032272
20,161,1165,6164,120000,120000,120000,-2.9075508509661168,-2.289347572803802,-1.6827995863011713,0.4466002830615886
21,151,843,5070,120000,120000,120000,-2.841818313717775,-2.33682025581393,-1.6826339248533415,0.446166721384875
22,201,1167,6505,120000,120000,120000,-2.8249360582624172,-2.274751413567188,-1.6509946317527513,0.4630489208388805
23,337,1513,6627,120000,120000,120000,-2.759856547674021,-2.298261085537364,-1.7300687158793444,0.45377110861120656
24,154,1139,5913,120000,120000,120000,-2.9214585703896025,-2.29279877363023,-1.6940365329625697,0.44412216053969655
25,248,1520,7239,120000,120000,120000,-2.867772022862711,-2.2362675271427497,-1.5520504784660967,-5.455715252674395e-07
26,311,1472,7237,120000,120000,120000,-2.8118106654797783,-2.302653675376522,-1.6742079312736933,0.4487431569430411
27,223,1123,6097,120000,120000,120000,-2.800694034238848,-2.333979885748259,-1.6755583027548917,0.4294282011435684
28,121,795,5071,120000,120000,120000,-2.8556457096994396,-2.31075772480298,-1.6408217866482142,0.4539827362931357
29,235,1229,6395,120000,120000,120000,-2.7889992255887974,-2.2694808047695494,-1.640745649882628,0.4673380286072542
30,339,1641,7799,120000,120000,120000,-2.759942832185525,-2.261078367318082,-1.6440058736931857,0.46133179796518964
31,217,1145,5598,120000,120000,120000,-2.7749690702490746,-2.3062237009338697,-1.7180925508427871,0.46624214291687205
32,194,1154,6234,120000,120000,120000,-2.8971212109987414,-2.317139666627261,-1.6709839723622064,0.4433186192536577
33,131,816,5075,120000,120000,120000,-2.809636106248726,-2.2823201041477668,-1.6259833059705513,0.4682804893243844
34,160,1020,5820,120000,120000,120000,-2.9047563048024667,-2.332867150611018,-1.6633026159422846,0.387084686970309
35,220,1325,6541,120000,120000,120000,-2.7977585387737953,-2.2732772490126307,-1.6535908910059818,0.453643176385782
36,133,913,5316,120000,120000,120000,-2.875244400726671,-2.3104654448873756,-1.661081258223803,0.44827522222491767
37,110,976,5565,120000,120000,120000,-2.9117224095311105,-2.277565664643113,-1.6351058841537345,0.45582965788902763
38,236,1510,7441,120000,120000,120000,-2.8972587066183006,-2.2934973526534703,-1.6790483356600274,0.43763154584757524
39,149,1037,6120,120000,120000,120000,-2.916562010043184,-2.292834874040876,-1.6165990456736543,0.4246678532149798
40,281,1624,7203,120000,120000,120000,-2.852079075615161,-2.261258980118341,-1.6810469295322241,0.44740604185612587
41,201,1122,6228,120000,120000,120000,-2.864634967756914,-2.315013326418031,-1.6776437020841277,0.45151049999848064
